2052-09-01	2052-8-9	30	闭	日	壬申 戊申 乙未	无	白露 (9, 7)	无	无	无	作灶 入宅 嫁娶 斋醮 祈福 祭祀 移徙	动土 破土
2052-09-02	2052-8-10	30	建	一	壬申 戊申 丙申	无	白露 (9, 7)	无	无	无	入殓 出行 启钻 嫁娶 安葬 祭祀 纳畜	作灶 动土 破土
2052-09-03	2052-8-11	30	除	二	壬申 戊申 丁酉	无	白露 (9, 7)	无	无	无	上梁 修造 动土 安葬 破土 祈福 祭祀 纳采 订盟	嫁娶 开市
2052-09-04	2052-8-12	30	满	三	壬申 戊申 戊戌	无	白露 (9, 7)	无	无	无	上梁 会亲友 修造 入宅 出行 移徙 纳采 订盟	安葬 开市
2052-09-05	2052-8-13	30	平	四	壬申 戊申 己亥	无	白露 (9, 7)	无	无	无	修饰垣墙 平治道涂 沐浴 馀事勿取	嫁娶 祈福
2052-09-06	2052-8-14	30	定	五	壬申 戊申 庚子	无	白露 (9, 7)	无	无	无	入宅 动土 嫁娶 斋醮 祈福 祭祀 移徙	安葬 开市
2052-09-07	2052-8-15	30	定	六	壬申 己酉 辛丑	白露	秋分 (9, 22)	无	无	无	会亲友 修造 动土 开光 开厕 斋醮 栽种 求嗣 牧养 祈福 纳财 造仓	作灶 入宅 出火 开渠 祭祀 移徙 进人口
2052-09-08	2052-8-16	30	执	日	壬申 己酉 壬寅	无	秋分 (9, 22)	无	无	无	修坟 修造 动土 安葬 安门 开光 拆卸 牧养 破土 移柩 竖柱 解除	入宅 出火 嫁娶 安床 开市 探病 祈福 祭祀 移徙
2052-09-09	2052-8-17	30	破	一	壬申 己酉 癸卯	无	秋分 (9, 22)	无	无	无	坏垣 求医 治病 破屋 馀事勿取	入宅 移徙
2052-09-10	2052-8-18	30	危	二	壬申 己酉 甲辰	无	秋分 (9, 22)	教师节	无	无	上梁 修造 入宅 出火 出行 动土 合脊 嫁娶 安床 开光 成服 拆卸 掘井 放水 求嗣 破土 祈福 祭祀 移徙 移柩 纳采 订盟 谢土 进人口 除服	安葬 安门 开仓 开市
2052-09-11	2052-8-19	30	成	三	壬申 己酉 乙巳	无	秋分 (9, 22)	无	无	无	交易 入宅 出火 嫁娶 安床 开光 开市 挂匾 求嗣 祈福 祭祀 移徙 立券 纳采 解除 订盟 进人口	伐木 出行 安葬 栽种 纳畜 行丧 造庙 造桥
2052-09-12	2052-8-20	30	收	四	壬申 己酉 丙午	无	秋分 (9, 22)	无	无	无	冠笄 捕捉 祭祀 馀事勿取	作梁 合寿木 嫁娶 开市 盖屋
2052-09-13	2052-8-21	30	开	五	壬申 己酉 丁未	无	秋分 (9, 22)	无	无	无	会亲友 入学 取渔 启钻 成服 畋猎 祭祀 移柩 结网 解除 除服	入殓 动土 安葬 开市 破土 祈福 造船
2052-09-14	2052-8-22	30	闭	六	壬申 己酉 戊申	无	秋分 (9, 22)	无	无	无	修造 入宅 冠笄 出行 动土 安葬 沐浴 破土 移徙	修坟 嫁娶 开市 斋醮 祈福 祭祀 纳采
2052-09-15	2052-8-23	30	建	日	壬申 己酉 己酉	无	秋分 (9, 22)	无	无	无	出行 祭祀	会亲友 修造 入宅 动土 嫁娶 破土
2052-09-16	2052-8-24	30	除	一	壬申 己酉 庚戌	无	秋分 (9, 22)	无	无	无	修造 入宅 出行 动土 嫁娶 祈福 祭祀 移徙 纳采 订盟	伐木 作梁 安葬 行丧 造庙 针灸
2052-09-17	2052-8-25	30	满	二	壬申 己酉 辛亥	无	秋分 (9, 22)	无	无	无	上梁 交易 出火 出行 安机械 开市 移徙 立券	动土 嫁娶 安葬 造桥
2052-09-18	2052-8-26	30	平	三	壬申 己酉 壬子	无	秋分 (9, 22)	无	无	无	修饰垣墙 平治道涂 沐浴 祭祀 馀事勿取	上梁 入宅 出行 嫁娶 斋醮 移徙
2052-09-19	2052-8-27	30	定	四	壬申 己酉 癸丑	无	秋分 (9, 22)	无	无	无	修造 入宅 出火 出行 动土 嫁娶 安机械 安葬 安香 开光 开市 破土 祈福 祭祀 移徙 立券 造车器	开渠 架马 纳采 订盟 词讼
2052-09-20	2052-8-28	30	执	五	壬申 己酉 甲寅	无	秋分 (9, 22)	无	无	无	入殓 启钻 安葬 成服 捕捉 沐浴 破土 除服	上梁 入宅 嫁娶 安床 开市 探病 祭祀
2052-09-21	2052-8-29	30	破	六	壬申 己酉 乙卯	无	秋分 (9, 22)	全民国防教育日	无	无	馀事勿取	探病
2052-09-22	2052-8-30	30	危	日	壬申 己酉 丙辰	秋分	寒露 (10, 7)	无	无	无	上梁 修造 入宅 出火 动土 安门 安香 定磉 开池 破土 祈福 祭祀 移徙 立券 竖柱 纳采 订盟 起基	作灶 嫁娶 安葬 造庙 造桥 造船
2052-09-23	2052-8a-1	29	成	一	壬申 己酉 丁巳	无	寒露 (10, 7)	无	无	无	上梁 修造 入宅 出火 动土 嫁娶 开光 开市 开池 拆卸 挂匾 放水 求嗣 牧养 移徙 纳畜 纳采 订盟 起基 造仓 造船 雕刻	合寿木 安葬 行丧
2052-09-24	2052-8a-2	29	收	二	壬申 己酉 戊午	无	寒露 (10, 7)	无	无	无	嫁娶 捕捉 祭祀	修造 入宅 动土 安门 开光 开市 破土
2052-09-25	2052-8a-3	29	开	三	壬申 己酉 己未	无	寒露 (10, 7)	无	无	无	会亲友 启钻 成服 捕捉 普渡 畋猎 祭祀 移柩 解除 除服	动土 嫁娶 安葬 开市 开池 掘井
2052-09-26	2052-8a-4	29	闭	四	壬申 己酉 庚申	无	寒露 (10, 7)	无	无	无	伐木 修坟 修造 入宅 入殓 冠笄 出行 动土 合寿木 嫁娶 安葬 开柱眼 开生坟 架马 破土 移徙 移柩 解除	安床 开光 开市 祈福 祭祀
2052-09-27	2052-8a-5	29	建	五	壬申 己酉 辛酉	无	寒露 (10, 7)	无	无	无	交易 出行 扫舍 教牛马 求嗣 沐浴 祈福 祭祀	作灶 修坟 动土 安葬 行丧
2052-09-28	2052-8a-6	29	除	六	壬申 己酉 壬戌	无	寒露 (10, 7)	无	无	无	上梁 修造 入宅 冠笄 出行 动土 合脊 安床 开厕 开市 栽种 移徙 纳采 解除 起基 雕刻	安葬 安门 行丧 造庙
2052-09-29	2052-8a-7	29	满	日	壬申 己酉 癸亥	无	寒露 (10, 7)	无	无	无	作灶 冠笄 出行 塑绘 塞穴 开光 开厕 开市 开池 挂匾 补垣 裁衣 解除	无
2052-09-30	2052-8a-8	29	平	一	壬申 己酉 甲子	无	寒露 (10, 7)	无	无	无	修饰垣墙 入殓 平治道涂 祈福 祭祀 移柩	上梁 入宅 嫁娶 安门
